date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:50	6464111/6464111	------	200	untouched ('')	image/jpeg	date:Thu,%2001%20Feb%202018%2012:27:48%20GMT	http://www.fpiupdates.com.ng/assets/img/happystudents.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/img/happystudents.jpg	(from http://www.fpiupdates.com.ng/assets/css/style.css)
14:15:50	105536/105536	------	200	untouched ('')	font/woff2	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.woff2	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.woff2	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	181852/181852	------	200	untouched ('')	font/ttf	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.ttf	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-brands-400.ttf	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	23940/23940	------	200	untouched ('')	font/woff2	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.woff2	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.woff2	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	60520/60520	------	200	untouched ('')	font/ttf	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.ttf	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-regular-400.ttf	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	154228/154228	------	200	untouched ('')	font/woff2	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-solid-900.woff2	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-solid-900.woff2	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	388460/388460	------	200	untouched ('')	font/ttf	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-solid-900.ttf	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-solid-900.ttf	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	4960/4960	------	200	untouched ('')	font/woff2	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-v4compatibility.woff2	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-v4compatibility.woff2	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	10556/10556	------	200	untouched ('')	font/ttf	date:Tue,%2022%20Mar%202022%2012:08:02%20GMT	http://www.fpiupdates.com.ng/assets/webfonts/fa-v4compatibility.ttf	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assets/webfonts/fa-v4compatibility.ttf	(from http://www.fpiupdates.com.ng/assets/css/all.min.css)
14:15:50	216794/216794	------	200	untouched ('')	image/jpeg	date:Thu,%2009%20Mar%202023%2017:51:41%20GMT	https://fpiupdates.com.ng/media/featuredImage/fpiImage1.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/fpiupdates.com.ng/media/featuredImage/fpiImage1.jpg	(from http://www.fpiupdates.com.ng/about)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:00%20GMT	http://www.fpiupdates.com.ng/twitter.com/OPMayomi	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/twitter.com/OPMayomi.html	(from http://www.fpiupdates.com.ng/about)
14:15:50	80780/80780	------	200	untouched ('')	image/jpeg	date:Wed,%2028%20Jun%202023%2000:20:27%20GMT	https://fpiupdates.com.ng/media/backgroundImages/tutorialVideoCover.jpg	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/fpiupdates.com.ng/media/backgroundImages/tutorialVideoCover.jpg	(from http://www.fpiupdates.com.ng/tutorial-videos)
14:15:50	4473/4473	------	404	error ('Not%20Found')	text/html	date:Sun,%2012%20May%202024%2012:36:01%20GMT	http://www.fpiupdates.com.ng/assett/js/jquery.min.js	C:/Users/HP/OneDrive/Desktop/fpiupdatesClone/www.fpiupdates.com.ng/assett/js/jquery.min.html	(from http://www.fpiupdates.com.ng/tutorial-videos)
